"Sample_ID","uniquely_mapped_total","FemaleID","Date","RIN","Postcop","swelling","male_presence","cycle","phase","phasecode","SampleType","MaleID","DyadID","MHCI_allele_comp","MHCII_allele_comp","MHCI_supertype_comp","MHCII_supertype_comp","Male_stMLH","Male_MHCI_allele","Male_MHCII_allele","Male_MHCI_supertype","Male_MHCII_supertype","KINSHIP"
"185",5553142,"Suzon","5/16/19",6.8,"Y","LGS","With Male",2,"post-fertile","PostF","Vaginal","Rodolphe",5,0.2778,0,0.4,0.375,0.878142928,10,7,5,6,-0.183528
"188",5108909,"Suzon","5/18/19",5.4,"N","DGS","With Male",2,"post-fertile","PostF","Vaginal","Rodolphe",5,0.2778,0,0.4,0.375,0.878142928,10,7,5,6,-0.183528
"192",11399161,"Vuei","5/20/19",5.4,"Y","MGS","With Male",1,"pre-fertile","PreF","Vaginal","Auguste",7,0.1,0,0.666666666666667,0.428571428571429,0.984761238,11,6,9,6,-0.0426822
"195",5980856,"Vuei","5/21/19",4.6,"Y","LGS","With Male",1,"pre-fertile","PreF","Vaginal","Auguste",7,0.1,0,0.666666666666667,0.428571428571429,0.984761238,11,6,9,6,-0.0426822
"197",10514404,"Viva","5/22/19",6,"N","FD","With Male",0,"non-fertile","NonF","Vaginal","Auguste",6,0.8182,0.3333,0.888888888888889,0.333333333333333,0.984761238,11,6,9,6,-0.0546244
"198",9673487,"Vuei","5/22/19",3,"Y","LGS","With Male",1,"pre-fertile","PreF","Vaginal","Auguste",7,0.1,0,0.666666666666667,0.428571428571429,0.984761238,11,6,9,6,-0.0426822
"2",7584012,"Vertige","12/14/18",5.9,"N","LGS","No Male",1,"fertile","F","Vaginal","Momo",2,0.4,0.4,0.666666666666667,0.833333333333333,1.038536994,10,8,6,5,0.237535
"200",7905392,"Vuei","5/23/19",3.2,"Y","LGS","With Male",1,"pre-fertile","PreF","Vaginal","Auguste",7,0.1,0,0.666666666666667,0.428571428571429,0.984761238,11,6,9,6,-0.0426822
"201",13674483,"Suzon","5/23/19",6,"N","FD","With Male",2,"non-fertile","NonF","Vaginal","Rodolphe",5,0.2778,0,0.4,0.375,0.878142928,10,7,5,6,-0.183528
"203",8212839,"Vuei","5/24/19",3.3,"Y","LGS","With Male",1,"fertile","F","Vaginal","Auguste",7,0.1,0,0.666666666666667,0.428571428571429,0.984761238,11,6,9,6,-0.0426822
"206",12022913,"Vuei","5/27/19",2.7,"Y","LGS","With Male",1,"fertile","F","Vaginal","Auguste",7,0.1,0,0.666666666666667,0.428571428571429,0.984761238,11,6,9,6,-0.0426822
"207",16913555,"Vuei","5/28/19",2.3,"Y","DGS","With Male",1,"fertile","F","Vaginal","Auguste",7,0.1,0,0.666666666666667,0.428571428571429,0.984761238,11,6,9,6,-0.0426822
"210",5897805,"Vuei","5/30/19",5.6,"N","DGS","With Male",1,"post-fertile","PostF","Vaginal","Auguste",7,0.1,0,0.666666666666667,0.428571428571429,0.984761238,11,6,9,6,-0.0426822
"212",10207309,"Vuei","5/31/19",4,"N","DGS","With Male",1,"post-fertile","PostF","Vaginal","Auguste",7,0.1,0,0.666666666666667,0.428571428571429,0.984761238,11,6,9,6,-0.0426822
"222",17063333,"Viva","6/10/19",6.7,"N","LGS","With Male",1,"pre-fertile","PreF","Vaginal","Auguste",6,0.8182,0.3333,0.888888888888889,0.333333333333333,0.984761238,11,6,9,6,-0.0546244
