Sample,total_reads,avg_input_read_length,uniquely_mapped,uniquely_mapped_percent,avg_mapped_read_length,num_splices,num_annotated_splices,num_GTAG_splices,num_GCAG_splices,num_ATAC_splices,num_noncanonical_splices,mismatch_rate,deletion_rate,deletion_length,insertion_rate,insertion_length,multimapped,multimapped_percent,multimapped_toomany,multimapped_toomany_percent,unmapped_mismatches_percent,unmapped_tooshort_percent,unmapped_other_percent,unmapped_mismatches,unmapped_tooshort,unmapped_other
50.L1,12298600,50,4925474,40.05,40.76,148845,140254,143123,1169,64,4489,0.9,0.02,1.58,0.01,1.42,6606953,53.72,525187,4.27,0,1.68,0.28,0,206559,34427
50.L2,12548398,50,5022499,40.03,40.76,151402,142620,145360,1200,86,4756,0.9,0.02,1.57,0.01,1.42,6741879,53.73,537852,4.29,0,1.68,0.28,0,211001,35167
51.L1,12048640,50,9533237,79.12,49.49,346852,331027,335492,3116,232,8012,0.31,0.03,1.56,0.01,1.47,2311998,19.19,106077,0.88,0,0.05,0.76,0,6008,91320
51.L2,12249787,50,9696358,79.16,49.49,352007,335945,340480,3067,212,8248,0.31,0.03,1.56,0.01,1.48,2347146,19.16,107436,0.88,0,0.05,0.75,0,6178,92669
53.L1,12701217,50,10593704,83.41,49.67,586751,565516,573364,4104,368,8915,0.3,0.02,1.69,0.01,1.48,1895017,14.92,108765,0.86,0,0.02,0.8,0,2530,101201
53.L2,12900182,50,10758949,83.4,49.66,593619,572146,579698,4298,385,9238,0.3,0.02,1.69,0.01,1.48,1925557,14.93,110255,0.85,0,0.02,0.79,0,2603,102818
56.L1,13290941,50,2784772,20.95,21.05,7328,75,1121,48,2,6157,3.95,0,1.25,0,1.36,9219747,69.37,998579,7.51,0,2.17,0,0,287843,0
56.L2,13549327,50,2837507,20.94,21.05,7529,95,1134,56,2,6337,3.95,0,1.36,0,1.25,9397681,69.36,1018497,7.52,0,2.18,0,0,295642,0
57.L1,16383716,50,3593681,21.93,21.46,15130,3629,4696,98,8,10328,3.67,0,1.66,0,1.44,11686420,71.33,932933,5.69,0,1.04,0,0,170682,0
57.L2,16828064,50,3695667,21.96,21.45,15383,3573,4700,128,9,10546,3.66,0,1.65,0,1.39,11999881,71.31,957110,5.69,0,1.04,0,0,175406,0
